package,package_version,layer_version_arn,time_to_live
idna,2.8,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultidna:2,25-03-2020
openssl,1.1.1c,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultopenssl:2,
spacy,2.2.1,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultspacy:1,
pulp,1.6.10,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultpulp:1,
textdistance,4.1.5,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaulttextdistance:1,
pyqldb,1.0.0rc2,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultpyqldb:1,
boto3,1.10.26,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultboto3:1,18-03-2020
PyYAML,5.3,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultPyYAML:3,
requests,2.22.0,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultrequests:8,25-03-2020
boto3,1.12.0,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultboto3:2,
idna,2.9,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultidna:3,
requests,2.23.0,arn:aws:lambda:ap-east-1:113088814899:layer:pylayers-python37-defaultrequests:9,
